dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,34.178155,125.000000,34.278155,50.270221,18.880834,-59.002607,0.000000
0.020000,35.187099,125.000000,35.287099,50.624237,17.700782,-59.002607,0.000000
0.020000,36.202888,125.000000,36.302888,50.954652,16.520730,-59.002607,0.000000
0.020000,37.225049,125.000000,37.325049,51.261465,15.340678,-59.002607,0.000000
0.020000,38.253111,125.000000,38.353111,51.544678,14.160626,-59.002607,0.000000
0.020000,39.286600,125.000000,39.386600,51.804289,12.980574,-59.002607,0.000000
0.020000,40.325046,125.000000,40.425046,52.040300,11.800521,-59.002607,0.000000
0.020000,41.367976,125.000000,41.467976,52.252709,10.620469,-59.002607,0.000000
0.020000,42.414919,125.000000,42.514919,52.441517,9.440417,-59.002607,0.000000
0.020000,43.465401,125.000000,43.565401,52.606725,8.260365,-59.002607,0.000000
0.020000,44.518952,125.000000,44.618952,52.748331,7.080313,-59.002607,0.000000
0.020000,45.575098,125.000000,45.675098,52.866336,5.900261,-59.002607,0.000000
0.020000,46.633369,125.000000,46.733369,52.960740,4.720209,-59.002607,0.000000
0.020000,47.693292,125.000000,47.793292,53.031543,3.540156,-59.002607,0.000000
0.020000,48.754395,125.000000,48.854395,53.078745,2.360104,-59.002607,0.000000
0.020000,49.816206,125.000000,49.916206,53.102347,1.180052,-59.002607,0.000000
0.020000,50.878076,125.000000,50.978076,53.084692,-0.882732,-103.139186,0.000000
0.020000,51.939357,125.000000,52.039357,53.043436,-2.062784,-59.002607,0.000000
0.020000,52.999578,125.000000,53.099578,52.978580,-3.242836,-59.002607,0.000000
0.020000,54.058265,125.000000,54.158265,52.890122,-4.422888,-59.002607,0.000000
0.020000,55.114946,125.000000,55.214946,52.778063,-5.602940,-59.002607,0.000000
0.020000,56.169151,125.000000,56.269151,52.642403,-6.782992,-59.002607,0.000000
0.020000,57.220407,125.000000,57.320407,52.483142,-7.963044,-59.002607,0.000000
0.020000,58.268241,125.000000,58.368241,52.300280,-9.143097,-59.002607,0.000000
0.020000,59.312182,125.000000,59.412182,52.093817,-10.323149,-59.002607,0.000000
0.020000,60.351757,125.000000,60.451757,51.863753,-11.503201,-59.002607,0.000000
0.020000,61.386496,125.000000,61.486496,51.610088,-12.683253,-59.002607,0.000000
0.020000,62.415925,125.000000,62.515925,51.332822,-13.863305,-59.002607,0.000000
0.020000,63.439573,125.000000,63.539573,51.031955,-15.043357,-59.002607,0.000000
0.020000,64.456967,125.000000,64.556967,50.707487,-16.223409,-59.002607,0.000000
0.020000,65.467636,125.000000,65.567636,50.359418,-17.403462,-59.002607,0.000000
0.020000,66.471108,125.000000,66.571108,49.987747,-18.583514,-59.002607,0.000000
0.020000,67.466910,125.000000,67.566910,49.592476,-19.763566,-59.002607,0.000000
0.020000,68.454571,125.000000,68.554571,49.173604,-20.943618,-59.002607,0.000000
0.020000,69.433618,125.000000,69.533618,48.731130,-22.123670,-59.002607,0.000000
0.020000,70.403580,125.000000,70.503580,48.265056,-23.303722,-59.002607,0.000000
0.020000,71.363984,125.000000,71.463984,47.775380,-24.483774,-59.002607,0.000000
0.020000,72.314359,125.000000,72.414359,47.262104,-25.663827,-59.002607,0.000000
0.020000,73.254233,125.000000,73.354233,46.725226,-26.843879,-59.002607,0.000000
0.020000,74.183132,125.000000,74.283132,46.164748,-28.023931,-59.002607,0.000000
0.020000,75.100586,125.000000,75.200586,45.580668,-29.203983,-59.002607,0.000000
0.020000,76.006123,125.000000,76.106123,44.972987,-30.384035,-59.002607,0.000000
0.020000,76.899270,125.000000,76.999270,44.341705,-31.564087,-59.002607,0.000000
0.020000,77.779555,125.000000,77.879555,43.686823,-32.744140,-59.002607,0.000000
0.020000,78.646507,125.000000,78.746507,43.008339,-33.924192,-59.002607,0.000000
0.020000,79.499653,125.000000,79.599653,42.306254,-35.104244,-59.002607,0.000000
0.020000,80.338521,125.000000,80.438521,41.580568,-36.284296,-59.002607,0.000000
0.020000,81.162639,125.000000,81.262639,40.831281,-37.464348,-59.002607,0.000000
0.020000,81.971536,125.000000,82.071536,40.058393,-38.644400,-59.002607,0.000000
0.020000,82.764739,125.000000,82.864739,39.261904,-39.824452,-59.002607,0.000000
0.020000,83.541776,125.000000,83.641776,38.441814,-41.004505,-59.002607,0.000000
0.020000,84.302176,125.000000,84.402176,37.598123,-42.184557,-59.002607,0.000000
