dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,34.178155,139.250000,34.178391,50.081413,19.470860,-59.002607,0.000000
0.020000,35.187099,139.250000,35.187335,50.447229,18.290808,-59.002607,0.000000
0.020000,36.202888,139.250000,36.203124,50.789444,17.110756,-59.002607,0.000000
0.020000,37.225049,139.250000,37.225285,51.108058,15.930704,-59.002607,0.000000
0.020000,38.253111,139.250000,38.253347,51.403071,14.750652,-59.002607,0.000000
0.020000,39.286600,139.250000,39.286836,51.674483,13.570600,-59.002607,0.000000
0.020000,40.325046,139.250000,40.325282,51.922294,12.390548,-59.002607,0.000000
0.020000,41.367976,139.250000,41.368212,52.146504,11.210495,-59.002607,0.000000
0.020000,42.414919,139.250000,42.415155,52.347113,10.030443,-59.002607,0.000000
0.020000,43.465401,139.250000,43.465637,52.524121,8.850391,-59.002607,0.000000
0.020000,44.518952,139.250000,44.519188,52.677528,7.670339,-59.002607,0.000000
0.020000,45.575098,139.250000,45.575334,52.807334,6.490287,-59.002607,0.000000
0.020000,46.633369,139.250000,46.633605,52.913538,5.310235,-59.002607,0.000000
0.020000,47.693292,139.250000,47.693528,52.996142,4.130183,-59.002607,0.000000
0.020000,48.754395,139.250000,48.754631,53.055144,2.950130,-59.002607,0.000000
0.020000,49.816206,139.250000,49.816442,53.090546,1.770078,-59.002607,0.000000
0.020000,50.878076,139.250000,50.878312,53.093519,0.148660,-81.070897,0.000000
0.020000,51.939357,139.250000,51.939593,53.064064,-1.472758,-81.070897,0.000000
0.020000,52.999578,139.250000,52.999814,53.011008,-2.652810,-59.002607,0.000000
0.020000,54.058265,139.250000,54.058501,52.934351,-3.832862,-59.002607,0.000000
0.020000,55.114946,139.250000,55.115182,52.834092,-5.012914,-59.002607,0.000000
0.020000,56.169151,139.250000,56.169387,52.710233,-6.192966,-59.002607,0.000000
0.020000,57.220407,139.250000,57.220643,52.562773,-7.373018,-59.002607,0.000000
0.020000,58.268241,139.250000,58.268477,52.391711,-8.553071,-59.002607,0.000000
0.020000,59.312182,139.250000,59.312418,52.197049,-9.733123,-59.002607,0.000000
0.020000,60.351757,139.250000,60.351993,51.978785,-10.913175,-59.002607,0.000000
0.020000,61.386496,139.250000,61.386732,51.736921,-12.093227,-59.002607,0.000000
0.020000,62.415925,139.250000,62.416161,51.471455,-13.273279,-59.002607,0.000000
0.020000,63.439573,139.250000,63.439809,51.182389,-14.453331,-59.002607,0.000000
0.020000,64.456967,139.250000,64.457203,50.869721,-15.633383,-59.002607,0.000000
